,Fold,Model,Accuracy,Balanced Accuracy,Precision-Macro,Precision-Weighted,Recall-Macro,Recall-Weighted,F1-Score-Macro,F1-Score-Weighted
175,8,AdaBoostClassifier,0.675,0.499,0.471,0.537,0.499,0.675,0.43,0.576
176,8,BaggingClassifier,0.996,0.969,0.988,0.996,0.969,0.996,0.978,0.996
177,8,BernoulliNB,0.887,0.754,0.746,0.909,0.754,0.887,0.739,0.89
178,8,CalibratedClassifierCV,0.99,0.879,0.927,0.99,0.879,0.99,0.896,0.99
179,8,DecisionTreeClassifier,0.994,0.97,0.935,0.994,0.97,0.994,0.948,0.994
180,8,DummyClassifier,0.41,0.125,0.051,0.168,0.125,0.41,0.073,0.238
181,8,ExtraTreeClassifier,0.968,0.854,0.825,0.969,0.854,0.968,0.831,0.968
182,8,ExtraTreesClassifier,0.994,0.973,0.995,0.994,0.973,0.994,0.983,0.994
183,8,GaussianNB,0.241,0.329,0.487,0.816,0.329,0.241,0.254,0.362
184,8,KNeighborsClassifier,0.799,0.472,0.602,0.8,0.472,0.799,0.509,0.79
185,8,LabelPropagation,0.74,0.46,0.592,0.787,0.46,0.74,0.493,0.741
186,8,LabelSpreading,0.74,0.46,0.592,0.787,0.46,0.74,0.493,0.741
187,8,LinearDiscriminantAnalysis,0.986,0.991,0.94,0.988,0.991,0.986,0.959,0.987
188,8,LinearSVC,0.994,0.956,0.992,0.994,0.956,0.994,0.97,0.994
189,8,LogisticRegression,0.993,0.912,0.926,0.993,0.912,0.993,0.918,0.993
190,8,NearestCentroid,0.855,0.708,0.604,0.914,0.708,0.855,0.596,0.875
191,8,PassiveAggressiveClassifier,0.981,0.84,0.885,0.982,0.84,0.981,0.839,0.981
192,8,Perceptron,0.985,0.881,0.886,0.987,0.881,0.985,0.871,0.986
193,8,QuadraticDiscriminantAnalysis,0.536,0.559,0.637,0.746,0.559,0.536,0.493,0.573
194,8,RandomForestClassifier,0.995,0.891,0.99,0.995,0.891,0.995,0.928,0.995
195,8,RidgeClassifier,0.954,0.598,0.601,0.931,0.598,0.954,0.598,0.942
196,8,RidgeClassifierCV,0.954,0.598,0.601,0.931,0.598,0.954,0.598,0.942
197,8,SGDClassifier,0.978,0.704,0.735,0.973,0.704,0.978,0.718,0.975
198,8,SVC,0.971,0.696,0.706,0.965,0.696,0.971,0.7,0.968
199,8,LGBMClassifier,0.998,0.986,0.956,0.998,0.986,0.998,0.966,0.998
200,9,AdaBoostClassifier,0.662,0.377,0.361,0.595,0.377,0.662,0.335,0.567
201,9,BaggingClassifier,0.995,0.946,0.991,0.995,0.946,0.995,0.965,0.995
202,9,BernoulliNB,0.877,0.797,0.744,0.908,0.797,0.877,0.728,0.883
203,9,CalibratedClassifierCV,0.99,0.837,0.867,0.988,0.837,0.99,0.85,0.989
204,9,DecisionTreeClassifier,0.995,0.901,0.974,0.995,0.901,0.995,0.915,0.995
205,9,DummyClassifier,0.411,0.125,0.051,0.169,0.125,0.411,0.073,0.24
206,9,ExtraTreeClassifier,0.974,0.862,0.859,0.974,0.862,0.974,0.857,0.974
207,9,ExtraTreesClassifier,0.995,0.904,0.993,0.995,0.904,0.995,0.927,0.995
208,9,GaussianNB,0.238,0.313,0.5,0.818,0.313,0.238,0.272,0.352
209,9,KNeighborsClassifier,0.789,0.457,0.584,0.789,0.457,0.789,0.485,0.778
210,9,LabelPropagation,0.729,0.444,0.578,0.778,0.444,0.729,0.472,0.729
